,state,participation,ebrw,math,total
0,Alabama,0.06,595,571,1166
1,Alaska,0.43,562,544,1106
2,Arizona,0.29,577,572,1149
3,Arkansas,0.05,592,576,1169
4,California,0.6,540,536,1076
5,Colorado,1.0,519,506,1025
6,Connecticut,1.0,535,519,1053
7,Delaware,1.0,505,492,998
8,District of Columbia,0.92,497,480,977
9,Florida,0.56,550,549,1099
10,Georgia,0.7,542,522,1064
11,Hawaii,0.56,480,530,1010
12,Idaho,1.0,508,493,1001
13,Illinois,0.99,513,506,1019
14,Indiana,0.63,542,532,1074
15,Iowa,0.03,634,631,1265
16,Kansas,0.04,633,631,1265
17,Kentucky,0.04,630,618,1248
18,Louisiana,0.04,615,595,1210
19,Maine,0.99,512,501,1013
20,Maryland,0.76,545,535,1080
21,Massachusetts,0.8,562,563,1125
22,Michigan,1.0,511,499,1011
23,Minnesota,0.04,643,655,1298
24,Mississippi,0.03,630,606,1236
25,Missouri,0.04,633,629,1262
26,Montana,0.1,606,592,1198
27,Nebraska,0.03,629,623,1252
28,Nevada,0.23,574,566,1140
29,New Hampshire,0.96,535,528,1063
30,New Jersey,0.82,547,547,1094
31,New Mexico,0.16,552,540,1093
32,New York,0.79,534,534,1068
33,North Carolina,0.52,554,543,1098
34,North Dakota,0.02,640,643,1283
35,Oklahoma,0.08,541,521,1062
36,Ohio,0.18,552,547,1099
37,Oregon,0.48,564,553,1117
38,Pennsylvania,0.7,547,539,1086
39,Rhode Island,0.97,513,505,1018
40,South Carolina,0.55,547,523,1070
41,South Dakota,0.03,622,618,1240
42,Tennessee,0.06,624,607,1231
43,Texas,0.66,520,512,1032
44,Utah,0.04,480,530,1010
45,Vermont,0.64,565,554,1120
46,Virginia,0.68,567,550,1117
47,Washington,0.69,543,538,1081
48,West Virginia,0.28,513,486,999
49,Wisconsin,0.03,641,653,1294
50,Wyoming,0.03,633,625,1257
